Erling Håland
Ederson Santana de Moraes
José Pedro Malheiro de Sá
Carlos Henrique Casimiro
Diogo José Teixeira da Silva
João Maria Lobo Alves Palhinha Gonçalves
Nélson Cabral Semedo
Victor Nilsson Lindelöf
Raúl Alonso Jiménez Rodríguez
Daniel Castelo Podence
Rúben Santos Gato Alves Dias
Reinildo Isnard Mandava
João Félix Sequeira
Florentino Ibrain Morris Luís
José Diogo Dalot Teixeira
Kenny McLean
John McGinn
Ryan Christie
Kieran Tierney
Harry Souttar
Sean Longstaff
Ross Stewart
Nikola Milenković
Pablo Sarabia García
Thomas Teye Partey
Alejandro Moreno Lopera
Kepa Arrizabalaga Revuelta
Emiliano Buendía
Marco Asensio Willemsen
Jefferson Andrés Lerma Solís
Rodrigo Hernández Cascante
Carlos Soler Barragán
Gabriel Gudmundsson
Viktor Gyökeres
Jens-Lys Michel Cajuste
Manuel Obafemi Akanji
Emmanuel Bonaventure Dennis
Alexis Mac Allister
Richarlison de Andrade
John Victor Maciel Furtado
Lucas Tolentino Coelho de Lima
Douglas Luiz Soares de Paulo
Luis Fernando Sinisterra Lucumí
Luis Fernando Díaz Marulanda
Edson Omar Álvarez Velázquez
Guido Rodríguez
Miguel Ángel Almirón Rejala
Omar Federico Alderete Fernández
Jack Harrison
Tyler Adams
Marshall Nyasha Munetsi
Omar Marmoush
Wataru Endo
Daichi Kamada
Takehiro Tomiyasu
Elliott Anderson
Cristian Gabriel Romero
Rodrigo Bentancur Colmán
Marcos Senesi
Nicolás Martín Domínguez
Angus Gunn
Philip Foden
Chris Mepham
Joe Rodon
Harry Darling
Marcus Edwards
Alfie Whiteman
Michael Johnston
Andrew Irving
Sergio Reguilón Rodríguez
Pau Francisco Torres
Randal Kolo Muani
Illan Meslier
Boubakary Soumaré
Romain Faivre
Altay Bayındır
Marc Cucurella Saseta
Scott McTominay
Steven Benda
Mads Roerslev Rasmussen
Jørgen Strand Larsen
Bruno Guimarães Rodriguez Moura
Hjalmar Ekdal
Santiago Ignacio Bueno Sciutto
Lucas Estella Perri
Ao Tanaka
Jakov Medić
Carlos Vinícius Alves Morais
Pedro Lomba Neto
Max Kilman
Naif Aguerd
Flynn Downes
Josh Bowler
Orel Mangala
Daniel Muñoz Mejía
Woyo Coulibaly
Bryan Mbeumo
Jean-Clair Todibo
Martín Zubimendi Ibáñez
Hákon Rafn Valdimarsson
Ogochukwu Onyeka Frank
Trevoh Chalobah
Mason Mount
Lukas Nmecha
Vitalii Mykolenko
Daniel Grimshaw
Nazariy Rusyn
Zian Flemming
Marcus Tavernier
Donyell Malen
Reiss Nelson
Jadon Sancho
Arijanet Murić
